Short SAS name,Long SAS name,Label,Type,Length,DME file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
RIC_CD,NCH_NEAR_LINE_REC_IDENT_CD,NCH Near Line Record Identification Code (RIC),CHAR,1.0,3.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,4.0,
FROM_DT,CLM_FROM_DT,Claim From Date,DATE,8.0,5.0,
THRU_DT,CLM_THRU_DT,Claim Through Date,DATE,8.0,6.0,
WKLY_DT,NCH_WKLY_PROC_DT,NCH Weekly Claim Processing Date,DATE,8.0,7.0,
ENTRY_CD,CARR_CLM_ENTRY_CD,Carrier Claim Entry Code,CHAR,1.0,8.0,
DISP_CD,CLM_DISP_CD,Claim Disposition Code,CHAR,2.0,9.0,
CARR_NUM,CARR_NUM,Carrier or MAC Number,CHAR,5.0,10.0,
PMTDNLCD,CARR_CLM_PMT_DNL_CD,Carrier Claim Payment Denial Code,CHAR,2.0,11.0,
PMT_AMT,CLM_PMT_AMT,Claim (Medicare) Payment Amount,NUM,12.0,12.0,
PRPAYAMT,CARR_CLM_PRMRY_PYR_PD_AMT,NCH Primary Payer (if not Medicare) Claim Paid Amount,NUM,12.0,13.0,
ASGMNTCD,CARR_CLM_PRVDR_ASGNMT_IND_SW,Carrier Claim Provider Assignment Indicator Switch,CHAR,1.0,14.0,
PROV_PMT,NCH_CLM_PRVDR_PMT_AMT,NCH Claim Provider Payment Amount,NUM,12.0,15.0,
BENE_PMT,NCH_CLM_BENE_PMT_AMT,NCH Claim Payment Amount to Beneficiary,NUM,12.0,16.0,
CLM_BENE_PD_AMT,CLM_BENE_PD_AMT,Carrier Claim Beneficiary Paid Amount,NUM,12.0,56.0,
SBMTCHRG,NCH_CARR_CLM_SBMTD_CHRG_AMT,NCH Carrier Claim Submitted Charge Amount (sum of all line-level submitted charges),NUM,12.0,17.0,
ALOWCHRG,NCH_CARR_CLM_ALOWD_AMT,NCH Carrier Claim Allowed Charge Amount (sum of all line-level allowed charges),NUM,12.0,18.0,
DEDAPPLY,CARR_CLM_CASH_DDCTBL_APLD_AMT,Carrier Claim Cash Deductible Applied Amount (sum of all line-level deductible amounts),NUM,12.0,19.0,
HCPCS_YR,CARR_CLM_HCPCS_YR_CD,Claim Healthcare Common Procedure Coding System (HCPCS) Year Code,CHAR,1.0,20.0,
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD,Claim Principal Diagnosis Code,CHAR,7.0,21.0,
PRNCPAL_DGNS_VRSN_CD,PRNCPAL_DGNS_VRSN_CD,Claim Principal Diagnosis Version Code,CHAR,1.0,22.0,
ICD_DGNS_CD1,ICD_DGNS_CD1,Claim Diagnosis Code I,CHAR,7.0,23.0,
ICD_DGNS_VRSN_CD1,ICD_DGNS_VRSN_CD1,Claim Diagnosis Code I Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,24.0,
ICD_DGNS_CD2,ICD_DGNS_CD2,Claim Diagnosis Code II,CHAR,7.0,25.0,
ICD_DGNS_VRSN_CD2,ICD_DGNS_VRSN_CD2,Claim Diagnosis Code II Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,26.0,
ICD_DGNS_CD3,ICD_DGNS_CD3,Claim Diagnosis Code III,CHAR,7.0,27.0,
ICD_DGNS_VRSN_CD3,ICD_DGNS_VRSN_CD3,Claim Diagnosis Code III Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,28.0,
ICD_DGNS_CD4,ICD_DGNS_CD4,Claim Diagnosis Code IV,CHAR,7.0,29.0,
ICD_DGNS_VRSN_CD4,ICD_DGNS_VRSN_CD4,Claim Diagnosis Code IV Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,30.0,
ICD_DGNS_CD5,ICD_DGNS_CD5,Claim Diagnosis Code V,CHAR,7.0,31.0,
ICD_DGNS_VRSN_CD5,ICD_DGNS_VRSN_CD5,Claim Diagnosis Code V Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,32.0,
ICD_DGNS_CD6,ICD_DGNS_CD6,Claim Diagnosis Code VI,CHAR,7.0,33.0,
ICD_DGNS_VRSN_CD6,ICD_DGNS_VRSN_CD6,Claim Diagnosis Code VI Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,34.0,
ICD_DGNS_CD7,ICD_DGNS_CD7,Claim Diagnosis Code VII,CHAR,7.0,35.0,
ICD_DGNS_VRSN_CD7,ICD_DGNS_VRSN_CD7,Claim Diagnosis Code VII Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,36.0,
ICD_DGNS_CD8,ICD_DGNS_CD8,Claim Diagnosis Code VIII,CHAR,7.0,37.0,
ICD_DGNS_VRSN_CD8,ICD_DGNS_VRSN_CD8,Claim Diagnosis Code VIII Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,38.0,
ICD_DGNS_CD9,ICD_DGNS_CD9,Claim Diagnosis Code IX,CHAR,7.0,39.0,
ICD_DGNS_VRSN_CD9,ICD_DGNS_VRSN_CD9,Claim Diagnosis Code IX Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,40.0,
ICD_DGNS_CD10,ICD_DGNS_CD10,Claim Diagnosis Code X,CHAR,7.0,41.0,
ICD_DGNS_VRSN_CD10,ICD_DGNS_VRSN_CD10,Claim Diagnosis Code X Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,42.0,
ICD_DGNS_CD11,ICD_DGNS_CD11,Claim Diagnosis Code XI,CHAR,7.0,43.0,
ICD_DGNS_VRSN_CD11,ICD_DGNS_VRSN_CD11,Claim Diagnosis Code XI Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,44.0,
ICD_DGNS_CD12,ICD_DGNS_CD12,Claim Diagnosis Code XII,CHAR,7.0,45.0,
ICD_DGNS_VRSN_CD12,ICD_DGNS_VRSN_CD12,Claim Diagnosis Code XII Diagnosis Version Code (ICD-9 or ICD-10),CHAR,1.0,46.0,
RFR_UPIN,RFR_PHYSN_UPIN,Carrier/DMERC Claim Ordering Physician UPIN Number,CHAR,12.0,47.0,
RFR_NPI,RFR_PHYSN_NPI,Carrier/DMERC Claim Ordering Physician NPI Number,CHAR,12.0,48.0,
CCLTRNUM,CLM_CLNCL_TRIL_NUM,Clinical Trial Number,CHAR,8.0,49.0,
DOB_DT,DOB_DT,Date of Birth from Claim,DATE,8.0,50.0,
GNDR_CD,GNDR_CD,Gender Code from Claim,CHAR,1.0,51.0,
RACE_CD,BENE_RACE_CD,Race Code from Claim,CHAR,1.0,52.0,
CNTY_CD,BENE_CNTY_CD,County Code from Claim (SSA),CHAR,3.0,53.0,
STATE_CD,BENE_STATE_CD,Beneficiary Residence (SSA) State Code,CHAR,2.0,54.0,
ZIP_CD,BENE_MLG_CNTCT_ZIP_CD,ZIP Code of Residence from Claim,CHAR,9.0,55.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,57.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,58.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,59.0,New2
