Short SAS name,Long SAS name,Label,Type,Length,HOP file sequence1,New variables
BENE_ID,BENE_ID,Encrypted CCW Beneficiary ID,CHAR,15.0,1.0,
CLM_ID,CLM_ID,Claim ID,CHAR,15.0,2.0,
RIC_CD,NCH_NEAR_LINE_REC_IDENT_CD,NCH Near Line Record Identification Code (RIC),CHAR,1.0,3.0,
CLM_TYPE,NCH_CLM_TYPE_CD,NCH Claim Type Code,CHAR,2.0,4.0,
FROM_DT,CLM_FROM_DT,Claim From Date,DATE,8.0,5.0,
THRU_DT,CLM_THRU_DT,Claim Through Date,DATE,8.0,6.0,
WKLY_DT,NCH_WKLY_PROC_DT,NCH Weekly Claim Processing Date,DATE,8.0,7.0,
FI_CLM_PROC_DT,FI_CLM_PROC_DT,FI Claim Process Date,DATE,8.0,8.0,
QUERY_CD,CLAIM_QUERY_CODE,Claim Query Code,CHAR,1.0,9.0,
PROVIDER,PRVDR_NUM,Provider Number,CHAR,6.0,10.0,
PRVDR_FULL_CCN_NUM,PRVDR_FULL_CCN_NUM,Full CMS Certification Number for Provider,CHAR,13.0,165.0,New5
FAC_TYPE,CLM_FAC_TYPE_CD,Claim Facility Type Code,CHAR,1.0,11.0,
OWNG_PRVDR_TIN_NUM,OWNG_PRVDR_TIN_NUM,Owning Provider Tax Identification Number (TIN),CHAR,10.0,161.0,New5
TYPESRVC,CLM_SRVC_CLSFCTN_TYPE_CD,Claim Service classification Type Code,CHAR,1.0,12.0,
FREQ_CD,CLM_FREQ_CD,Claim Frequency Code,CHAR,1.0,13.0,
FI_NUM,FI_NUM,FI or MAC Number,CHAR,5.0,14.0,
NOPAY_CD,CLM_MDCR_NON_PMT_RSN_CD,Claim Medicare Non Payment Reason Code,CHAR,2.0,15.0,
PMT_AMT,CLM_PMT_AMT,Claim (Medicare) Payment Amount,NUM,12.0,16.0,
PRPAYAMT,NCH_PRMRY_PYR_CLM_PD_AMT,NCH Primary Payer (if not Medicare) Claim Paid Amount,NUM,12.0,17.0,
PRPAY_CD,NCH_PRMRY_PYR_CD,NCH Primary Payer Code (if not Medicare),CHAR,1.0,18.0,
ACTIONCD,FI_CLM_ACTN_CD,FI or MAC Claim Action Code,CHAR,1.0,143.0,
PRSTATE,PRVDR_STATE_CD,NCH Provider SSA State Code,CHAR,2.0,19.0,
ORGNPINM,ORG_NPI_NUM,Organization NPI Number,CHAR,10.0,20.0,
SRVC_LOC_NPI_NUM,SRVC_LOC_NPI_NUM,Claim Service Location NPI Number,CHAR,22.0,21.0,
AT_UPIN,AT_PHYSN_UPIN,Claim Attending Physician UPIN Number,CHAR,6.0,22.0,
AT_NPI,AT_PHYSN_NPI,Claim Attending Physician NPI Number,CHAR,10.0,23.0,
AT_PHYSN_SPCLTY_CD,AT_PHYSN_SPCLTY_CD,Claim Attending Physician Specialty Code,CHAR,2.0,24.0,
OP_UPIN,OP_PHYSN_UPIN,Claim Operating Physician UPIN Number,CHAR,6.0,25.0,
OP_NPI,OP_PHYSN_NPI,Claim Operating Physician NPI Number,CHAR,10.0,26.0,
OP_PHYSN_SPCLTY_CD,OP_PHYSN_SPCLTY_CD,Claim Operating Physician Specialty Code,CHAR,2.0,27.0,
OT_UPIN,OT_PHYSN_UPIN,Claim Other Physician UPIN Number,CHAR,6.0,28.0,
OT_NPI,OT_PHYSN_NPI,Claim Other Physician NPI Number,CHAR,10.0,29.0,
OT_PHYSN_SPCLTY_CD,OT_PHYSN_SPCLTY_CD,Claim Other Physician Specialty Code,CHAR,2.0,30.0,
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI,Claim Rendering Physician NPI Number ,CHAR,12.0,31.0,
RNDRNG_PHYSN_SPCLTY_CD,RNDRNG_PHYSN_SPCLTY_CD,Claim Rendering Physician Specialty Code,CHAR,2.0,32.0,
RFR_PHYSN_NPI,RFR_PHYSN_NPI,Claim Referring Physician NPI Number,CHAR,12.0,33.0,
RFR_PHYSN_SPCLTY_CD,RFR_PHYSN_SPCLTY_CD,Claim Referring Physician Specialty Code,CHAR,2.0,34.0,
MCOPDSW,CLM_MCO_PD_SW,Claim MCO Paid Switch,CHAR,1.0,35.0,
STUS_CD,PTNT_DSCHRG_STUS_CD,Patient Discharge Status Code,CHAR,2.0,36.0,
TOT_CHRG,CLM_TOT_CHRG_AMT,Claim Total Charge Amount,NUM,12.0,37.0,
BLDDEDAM,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,NCH Beneficiary Blood Deductible Liability Amount,NUM,12.0,38.0,
PCCHGAMT,NCH_PROFNL_CMPNT_CHRG_AMT,NCH Professional Component Charge Amount,NUM,12.0,39.0,
BLDFRNSH,NCH_BLOOD_PNTS_FRNSHD_QTY,NCH Blood Pints Furnished Quantity,NUM,3.0,144.0,
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD,Claim Principal Diagnosis Code,CHAR,7.0,40.0,
ICD_DGNS_CD1,ICD_DGNS_CD1,Claim Diagnosis Code I,CHAR,7.0,41.0,
ICD_DGNS_CD2,ICD_DGNS_CD2,Claim Diagnosis Code II,CHAR,7.0,42.0,
ICD_DGNS_CD3,ICD_DGNS_CD3,Claim Diagnosis Code III,CHAR,7.0,43.0,
ICD_DGNS_CD4,ICD_DGNS_CD4,Claim Diagnosis Code IV,CHAR,7.0,44.0,
ICD_DGNS_CD5,ICD_DGNS_CD5,Claim Diagnosis Code V,CHAR,7.0,45.0,
ICD_DGNS_CD6,ICD_DGNS_CD6,Claim Diagnosis Code VI,CHAR,7.0,46.0,
ICD_DGNS_CD7,ICD_DGNS_CD7,Claim Diagnosis Code VII,CHAR,7.0,47.0,
ICD_DGNS_CD8,ICD_DGNS_CD8,Claim Diagnosis Code VIII,CHAR,7.0,48.0,
ICD_DGNS_CD9,ICD_DGNS_CD9,Claim Diagnosis Code IX,CHAR,7.0,49.0,
ICD_DGNS_CD10,ICD_DGNS_CD10,Claim Diagnosis Code X,CHAR,7.0,50.0,
ICD_DGNS_CD11,ICD_DGNS_CD11,Claim Diagnosis Code XI,CHAR,7.0,51.0,
ICD_DGNS_CD12,ICD_DGNS_CD12,Claim Diagnosis Code XII,CHAR,7.0,52.0,
ICD_DGNS_CD13,ICD_DGNS_CD13,Claim Diagnosis Code XIII,CHAR,7.0,53.0,
ICD_DGNS_CD14,ICD_DGNS_CD14,Claim Diagnosis Code XIV,CHAR,7.0,54.0,
ICD_DGNS_CD15,ICD_DGNS_CD15,Claim Diagnosis Code XV,CHAR,7.0,55.0,
ICD_DGNS_CD16,ICD_DGNS_CD16,Claim Diagnosis Code XVI,CHAR,7.0,56.0,
ICD_DGNS_CD17,ICD_DGNS_CD17,Claim Diagnosis Code XVII,CHAR,7.0,57.0,
ICD_DGNS_CD18,ICD_DGNS_CD18,Claim Diagnosis Code XVIII,CHAR,7.0,58.0,
ICD_DGNS_CD19,ICD_DGNS_CD19,Claim Diagnosis Code XIX,CHAR,7.0,59.0,
ICD_DGNS_CD20,ICD_DGNS_CD20,Claim Diagnosis Code XX,CHAR,7.0,60.0,
ICD_DGNS_CD21,ICD_DGNS_CD21,Claim Diagnosis Code XXI,CHAR,7.0,61.0,
ICD_DGNS_CD22,ICD_DGNS_CD22,Claim Diagnosis Code XXII,CHAR,7.0,62.0,
ICD_DGNS_CD23,ICD_DGNS_CD23,Claim Diagnosis Code XXIII,CHAR,7.0,63.0,
ICD_DGNS_CD24,ICD_DGNS_CD24,Claim Diagnosis Code XXIV,CHAR,7.0,64.0,
ICD_DGNS_CD25,ICD_DGNS_CD25,Claim Diagnosis Code XXV,CHAR,7.0,65.0,
FST_DGNS_E_CD,FST_DGNS_E_CD,First Claim Diagnosis E Code,CHAR,7.0,66.0,
ICD_DGNS_E_CD1,ICD_DGNS_E_CD1,Claim Diagnosis E Code I,CHAR,7.0,67.0,
ICD_DGNS_E_CD2,ICD_DGNS_E_CD2,Claim Diagnosis E Code II,CHAR,7.0,68.0,
ICD_DGNS_E_CD3,ICD_DGNS_E_CD3,Claim Diagnosis E Code III,CHAR,7.0,69.0,
ICD_DGNS_E_CD4,ICD_DGNS_E_CD4,Claim Diagnosis E Code IV,CHAR,7.0,70.0,
ICD_DGNS_E_CD5,ICD_DGNS_E_CD5,Claim Diagnosis E Code V,CHAR,7.0,71.0,
ICD_DGNS_E_CD6,ICD_DGNS_E_CD6,Claim Diagnosis E Code VI,CHAR,7.0,72.0,
ICD_DGNS_E_CD7,ICD_DGNS_E_CD7,Claim Diagnosis E Code VII,CHAR,7.0,73.0,
ICD_DGNS_E_CD8,ICD_DGNS_E_CD8,Claim Diagnosis E Code VIII,CHAR,7.0,74.0,
ICD_DGNS_E_CD9,ICD_DGNS_E_CD9,Claim Diagnosis E Code IX,CHAR,7.0,75.0,
ICD_DGNS_E_CD10,ICD_DGNS_E_CD10,Claim Diagnosis E Code X,CHAR,7.0,76.0,
ICD_DGNS_E_CD11,ICD_DGNS_E_CD11,Claim Diagnosis E Code XI,CHAR,7.0,77.0,
ICD_DGNS_E_CD12,ICD_DGNS_E_CD12,Claim Diagnosis E Code XII,CHAR,7.0,78.0,
ICD_PRCDR_CD1,ICD_PRCDR_CD1,Claim Procedure Code I,CHAR,7.0,79.0,
PRCDR_DT1,PRCDR_DT1,Claim Procedure Code I Date,DATE,8.0,80.0,
ICD_PRCDR_CD2,ICD_PRCDR_CD2,Claim Procedure Code II,CHAR,7.0,81.0,
PRCDR_DT2,PRCDR_DT2,Claim Procedure Code II Date,DATE,8.0,82.0,
ICD_PRCDR_CD3,ICD_PRCDR_CD3,Claim Procedure Code III,CHAR,7.0,83.0,
PRCDR_DT3,PRCDR_DT3,Claim Procedure Code III Date,DATE,8.0,84.0,
ICD_PRCDR_CD4,ICD_PRCDR_CD4,Claim Procedure Code IV,CHAR,7.0,85.0,
PRCDR_DT4,PRCDR_DT4,Claim Procedure Code IV Date,DATE,8.0,86.0,
ICD_PRCDR_CD5,ICD_PRCDR_CD5,Claim Procedure Code V,CHAR,7.0,87.0,
PRCDR_DT5,PRCDR_DT5,Claim Procedure Code V Date,DATE,8.0,88.0,
ICD_PRCDR_CD6,ICD_PRCDR_CD6,Claim Procedure Code VI,CHAR,7.0,89.0,
PRCDR_DT6,PRCDR_DT6,Claim Procedure Code VI Date,DATE,8.0,90.0,
ICD_PRCDR_CD7,ICD_PRCDR_CD7,Claim Procedure Code VII,CHAR,7.0,91.0,
PRCDR_DT7,PRCDR_DT7,Claim Procedure CodeVII Date,DATE,8.0,92.0,
ICD_PRCDR_CD8,ICD_PRCDR_CD8,Claim Procedure Code VIII,CHAR,7.0,93.0,
PRCDR_DT8,PRCDR_DT8,Claim Procedure Code VIII Date,DATE,8.0,94.0,
ICD_PRCDR_CD9,ICD_PRCDR_CD9,Claim Procedure Code IX,CHAR,7.0,95.0,
PRCDR_DT9,PRCDR_DT9,Claim Procedure Code IX Date,DATE,8.0,96.0,
ICD_PRCDR_CD10,ICD_PRCDR_CD10,Claim Procedure Code X,CHAR,7.0,97.0,
PRCDR_DT10,PRCDR_DT10,Claim Procedure Code X Date,DATE,8.0,98.0,
ICD_PRCDR_CD11,ICD_PRCDR_CD11,Claim Procedure Code XI,CHAR,7.0,99.0,
PRCDR_DT11,PRCDR_DT11,Claim Procedure Code XI Date,DATE,8.0,100.0,
ICD_PRCDR_CD12,ICD_PRCDR_CD12,Claim Procedure Code XII,CHAR,7.0,101.0,
PRCDR_DT12,PRCDR_DT12,Claim Procedure Code XII Date,DATE,8.0,102.0,
ICD_PRCDR_CD13,ICD_PRCDR_CD13,Claim Procedure Code XIII,CHAR,7.0,103.0,
PRCDR_DT13,PRCDR_DT13,Claim Procedure Code XIII Date,DATE,8.0,104.0,
ICD_PRCDR_CD14,ICD_PRCDR_CD14,Claim Procedure Code XIV,CHAR,7.0,105.0,
PRCDR_DT14,PRCDR_DT14,Claim Procedure Code XIV Date,DATE,8.0,106.0,
ICD_PRCDR_CD15,ICD_PRCDR_CD15,Claim Procedure Code XV,CHAR,7.0,107.0,
PRCDR_DT15,PRCDR_DT15,Claim Procedure Code XV Date,DATE,8.0,108.0,
ICD_PRCDR_CD16,ICD_PRCDR_CD16,Claim Procedure Code XVI,CHAR,7.0,109.0,
PRCDR_DT16,PRCDR_DT16,Claim Procedure Code XVI Date,DATE,8.0,110.0,
ICD_PRCDR_CD17,ICD_PRCDR_CD17,Claim Procedure Code XVII,CHAR,7.0,111.0,
PRCDR_DT17,PRCDR_DT17,Claim Procedure Code XVII Date,DATE,8.0,112.0,
ICD_PRCDR_CD18,ICD_PRCDR_CD18,Claim Procedure Code XVIII,CHAR,7.0,113.0,
PRCDR_DT18,PRCDR_DT18,Claim Procedure Code XVIII Date,DATE,8.0,114.0,
ICD_PRCDR_CD19,ICD_PRCDR_CD19,Claim Procedure Code XIX,CHAR,7.0,115.0,
PRCDR_DT19,PRCDR_DT19,Claim Procedure Code XIX Date,DATE,8.0,116.0,
ICD_PRCDR_CD20,ICD_PRCDR_CD20,Claim Procedure Code XX,CHAR,7.0,117.0,
PRCDR_DT20,PRCDR_DT20,Claim Procedure Code XX Date,DATE,8.0,118.0,
ICD_PRCDR_CD21,ICD_PRCDR_CD21,Claim Procedure Code XXI,CHAR,7.0,119.0,
PRCDR_DT21,PRCDR_DT21,Claim Procedure Code XXI Date,DATE,8.0,120.0,
ICD_PRCDR_CD22,ICD_PRCDR_CD22,Claim Procedure Code XXII,CHAR,7.0,121.0,
PRCDR_DT22,PRCDR_DT22,Claim Procedure Code XXII Date,DATE,8.0,122.0,
ICD_PRCDR_CD23,ICD_PRCDR_CD23,Claim Procedure Code XXIII,CHAR,7.0,123.0,
PRCDR_DT23,PRCDR_DT23,Claim Procedure Code XXIII Date,DATE,8.0,124.0,
ICD_PRCDR_CD24,ICD_PRCDR_CD24,Claim Procedure Code XXIV,CHAR,7.0,125.0,
PRCDR_DT24,PRCDR_DT24,Claim Procedure Code XXIV Date,DATE,8.0,126.0,
ICD_PRCDR_CD25,ICD_PRCDR_CD25,Claim Procedure Code XXV,CHAR,7.0,127.0,
PRCDR_DT25,PRCDR_DT25,Claim Procedure Code XXV Date,DATE,8.0,128.0,
RSN_VISIT_CD1,RSN_VISIT_CD1,Reason for Visit Diagnosis Code I,CHAR,7.0,129.0,
RSN_VISIT_CD2,RSN_VISIT_CD2,Reason for Visit Diagnosis Code II,CHAR,7.0,130.0,
RSN_VISIT_CD3,RSN_VISIT_CD3,Reason for Visit Diagnosis Code III,CHAR,7.0,131.0,
PTB_DED,NCH_BENE_PTB_DDCTBL_AMT,NCH Beneficiary Part B Deductible Amount,NUM,12.0,132.0,
PTB_COIN,NCH_BENE_PTB_COINSRNC_AMT,NCH Beneficiary Part B Coinsurance Amount,NUM,12.0,133.0,
PRVDRPMT,CLM_OP_PRVDR_PMT_AMT,Claim Outpatient Provider Payment Amount,NUM,12.0,134.0,
BENEPMT,CLM_OP_BENE_PMT_AMT,Claim Outpatient Payment Amount to Beneficiary,NUM,12.0,135.0,
DOB_DT,DOB_DT,Date of Birth from Claim ,DATE,8.0,136.0,
GNDR_CD,GNDR_CD,Gender Code from Claim,CHAR,1.0,137.0,
RACE_CD,BENE_RACE_CD,Race Code from Claim,CHAR,1.0,138.0,
CNTY_CD,BENE_CNTY_CD,County Code from Claim (SSA),CHAR,3.0,139.0,
STATE_CD,BENE_STATE_CD,Beneficiary Residence (SSA) State Code,CHAR,2.0,140.0,
ZIP_CD,BENE_MLG_CNTCT_ZIP_CD,ZIP Code of Residence from Claim,CHAR,9.0,141.0,
CLM_MDCL_REC,CLM_MDCL_REC,Claim Medical Record Number,CHAR,17.0,142.0,
CLM_TRTMT_AUTHRZTN_NUM,CLM_TRTMT_AUTHRZTN_NUM,Claim Treatment Authorization Number,CHAR,18.0,145.0,
CLM_PRCR_RTRN_CD,CLM_PRCR_RTRN_CD,Claim Pricer Return Code,CHAR,2.0,146.0,
CLM_PRCR_VRSN_CD,CLM_PRCR_VRSN_CD,Claim Pricer Version Code,CHAR,10.0,164.0,New5
CLM_SRVC_FAC_ZIP_CD,CLM_SRVC_FAC_ZIP_CD,Claim service facility ZIP code (where service was provided),CHAR,9.0,147.0,
CLM_OP_TRANS_TYPE_CD,CLM_OP_TRANS_TYPE_CD,Claim Outpatient transaction type,CHAR,1.0,148.0,
CLM_OP_ESRD_MTHD_CD,CLM_OP_ESRD_MTHD_CD,Claim Outpatient End Stage Renal Disease (ESRD) Method of Reimbursement Code,CHAR,1.0,149.0,
CLM_NEXT_GNRTN_ACO_IND_CD1,CLM_NEXT_GNRTN_ACO_IND_CD1,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Population based payments (PBP),CHAR,1.0,150.0,
CLM_NEXT_GNRTN_ACO_IND_CD2,CLM_NEXT_GNRTN_ACO_IND_CD2,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Telehealth,CHAR,1.0,151.0,
CLM_NEXT_GNRTN_ACO_IND_CD3,CLM_NEXT_GNRTN_ACO_IND_CD3,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Post Discharge HH visits,CHAR,1.0,152.0,
CLM_NEXT_GNRTN_ACO_IND_CD4,CLM_NEXT_GNRTN_ACO_IND_CD4,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - 3 day SNF waiver,CHAR,1.0,153.0,
CLM_NEXT_GNRTN_ACO_IND_CD5,CLM_NEXT_GNRTN_ACO_IND_CD5,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Capitation,CHAR,1.0,154.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,155.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,156.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,157.0,New2
PRVDR_VLDTN_TYPE_CD,PRVDR_VLDTN_TYPE_CD,Provider Validation Type Code,CHAR,2.0,158.0,New2
RR_BRD_EXCLSN_IND_SW,RR_BRD_EXCLSN_IND_SW,Railroad Board Exclusion Indicator Switch,CHAR,1.0,159.0,New2
CLM_MODEL_REIMBRSMT_AMT,CLM_MODEL_REIMBRSMT_AMT,Claim Model Reimbursement Amount,NUM,12.0,160.0,New3
CLM_ADJUST_GRP_CD,CLM_ADJUST_GRP_CD,Claim Adjustment Group Code,CHAR,2.0,162.0,New5
CLM_ADJUST_RSN_CD,CLM_ADJUST_RSN_CD,Claim Adjustment Reason Code,CHAR,5.0,163.0,New5
ESRD_TRTMT_CHS_IND_CD,ESRD_TRTMT_CHS_IND_CD,End-Stage Renal Disease (ESRD) Treatment Choices Demonstration Indicator Code,CHAR,1.0,166.0,New5
CLM_OP_PPS_IND,CLM_OP_PPS_IND,Claim Outpatient Prospective Payment System (OPPS) Indicator,CHAR,1.0,167.0,New5
