Short SAS name,Long SAS name,Label,Type,Length,IP file sequence1,New variables
CLM_E_POA_IND_SW2,CLM_E_POA_IND_SW2,Claim Diagnosis E Code II Diagnosis Present on Admission Indicator Code,CHAR,1.0,125.0,
ICD_DGNS_E_CD3,ICD_DGNS_E_CD3,Claim Diagnosis E Code III,CHAR,7.0,126.0,
CLM_E_POA_IND_SW3,CLM_E_POA_IND_SW3,Claim Diagnosis E Code III Diagnosis Present on Admission Indicator Code,CHAR,1.0,127.0,
ICD_DGNS_E_CD4,ICD_DGNS_E_CD4,Claim Diagnosis E Code IV,CHAR,7.0,128.0,
CLM_E_POA_IND_SW4,CLM_E_POA_IND_SW4,Claim Diagnosis E Code IV Diagnosis Present on Admission Indicator Code,CHAR,1.0,129.0,
ICD_DGNS_E_CD5,ICD_DGNS_E_CD5,Claim Diagnosis E Code V,CHAR,7.0,130.0,
CLM_E_POA_IND_SW5,CLM_E_POA_IND_SW5,Claim Diagnosis E Code V Diagnosis Present on Admission Indicator Code,CHAR,1.0,131.0,
ICD_DGNS_E_CD6,ICD_DGNS_E_CD6,Claim Diagnosis E Code VI,CHAR,7.0,132.0,
CLM_E_POA_IND_SW6,CLM_E_POA_IND_SW6,Claim Diagnosis E Code VI Diagnosis Present on Admission Indicator Code,CHAR,1.0,133.0,
ICD_DGNS_E_CD7,ICD_DGNS_E_CD7,Claim Diagnosis E Code VII,CHAR,7.0,134.0,
CLM_E_POA_IND_SW7,CLM_E_POA_IND_SW7,Claim Diagnosis E Code VII Diagnosis Present on Admission Indicator Code,CHAR,1.0,135.0,
ICD_DGNS_E_CD8,ICD_DGNS_E_CD8,Claim Diagnosis E Code VIII,CHAR,7.0,136.0,
CLM_E_POA_IND_SW8,CLM_E_POA_IND_SW8,Claim Diagnosis E Code VIII Diagnosis Present on Admission Indicator Code,CHAR,1.0,137.0,
ICD_DGNS_E_CD9,ICD_DGNS_E_CD9,Claim Diagnosis E Code IX,CHAR,7.0,138.0,
CLM_E_POA_IND_SW9,CLM_E_POA_IND_SW9,Claim Diagnosis E Code IX Diagnosis Present on Admission Indicator Code,CHAR,1.0,139.0,
ICD_DGNS_E_CD10,ICD_DGNS_E_CD10,Claim Diagnosis E Code X,CHAR,7.0,140.0,
CLM_E_POA_IND_SW10,CLM_E_POA_IND_SW10,Claim Diagnosis E Code X Diagnosis Present on Admission Indicator Code,CHAR,1.0,141.0,
ICD_DGNS_E_CD11,ICD_DGNS_E_CD11,Claim Diagnosis E Code XI,CHAR,7.0,142.0,
CLM_E_POA_IND_SW11,CLM_E_POA_IND_SW11,Claim Diagnosis E Code XI Diagnosis Present on Admission Indicator Code,CHAR,1.0,143.0,
ICD_DGNS_E_CD12,ICD_DGNS_E_CD12,Claim Diagnosis E Code XII,CHAR,7.0,144.0,
CLM_E_POA_IND_SW12,CLM_E_POA_IND_SW12,Claim Diagnosis E Code XII Diagnosis Present on Admission Indicator Code,CHAR,1.0,145.0,
ICD_PRCDR_CD1,ICD_PRCDR_CD1,Claim Procedure Code I,CHAR,7.0,146.0,
PRCDR_DT1,PRCDR_DT1,Claim Procedure Code I Date,DATE,8.0,147.0,
ICD_PRCDR_CD2,ICD_PRCDR_CD2,Claim Procedure Code II,CHAR,7.0,148.0,
PRCDR_DT2,PRCDR_DT2,Claim Procedure Code II Date,DATE,8.0,149.0,
ICD_PRCDR_CD3,ICD_PRCDR_CD3,Claim Procedure Code III,CHAR,7.0,150.0,
PRCDR_DT3,PRCDR_DT3,Claim Procedure Code III Date,DATE,8.0,151.0,
ICD_PRCDR_CD4,ICD_PRCDR_CD4,Claim Procedure Code IV,CHAR,7.0,152.0,
PRCDR_DT4,PRCDR_DT4,Claim Procedure Code IV Date,DATE,8.0,153.0,
ICD_PRCDR_CD5,ICD_PRCDR_CD5,Claim Procedure Code V,CHAR,7.0,154.0,
PRCDR_DT5,PRCDR_DT5,Claim Procedure Code V Date,DATE,8.0,155.0,
ICD_PRCDR_CD6,ICD_PRCDR_CD6,Claim Procedure Code VI,CHAR,7.0,156.0,
PRCDR_DT6,PRCDR_DT6,Claim Procedure Code VI Date,DATE,8.0,157.0,
ICD_PRCDR_CD7,ICD_PRCDR_CD7,Claim Procedure Code VII,CHAR,7.0,158.0,
PRCDR_DT7,PRCDR_DT7,Claim Procedure CodeVII Date,DATE,8.0,159.0,
ICD_PRCDR_CD8,ICD_PRCDR_CD8,Claim Procedure Code VIII,CHAR,7.0,160.0,
PRCDR_DT8,PRCDR_DT8,Claim Procedure Code VIII Date,DATE,8.0,161.0,
ICD_PRCDR_CD9,ICD_PRCDR_CD9,Claim Procedure Code IX,CHAR,7.0,162.0,
PRCDR_DT9,PRCDR_DT9,Claim Procedure Code IX Date,DATE,8.0,163.0,
ICD_PRCDR_CD10,ICD_PRCDR_CD10,Claim Procedure Code X,CHAR,7.0,164.0,
PRCDR_DT10,PRCDR_DT10,Claim Procedure Code X Date,DATE,8.0,165.0,
ICD_PRCDR_CD11,ICD_PRCDR_CD11,Claim Procedure Code XI,CHAR,7.0,166.0,
PRCDR_DT11,PRCDR_DT11,Claim Procedure Code XI Date,DATE,8.0,167.0,
ICD_PRCDR_CD12,ICD_PRCDR_CD12,Claim Procedure Code XII,CHAR,7.0,168.0,
PRCDR_DT12,PRCDR_DT12,Claim Procedure Code XII Date,DATE,8.0,169.0,
ICD_PRCDR_CD13,ICD_PRCDR_CD13,Claim Procedure Code XIII,CHAR,7.0,170.0,
PRCDR_DT13,PRCDR_DT13,Claim Procedure Code XIII Date,DATE,8.0,171.0,
ICD_PRCDR_CD14,ICD_PRCDR_CD14,Claim Procedure Code XIV,CHAR,7.0,172.0,
PRCDR_DT14,PRCDR_DT14,Claim Procedure Code XIV Date,DATE,8.0,173.0,
ICD_PRCDR_CD15,ICD_PRCDR_CD15,Claim Procedure Code XV,CHAR,7.0,174.0,
PRCDR_DT15,PRCDR_DT15,Claim Procedure Code XV Date,DATE,8.0,175.0,
ICD_PRCDR_CD16,ICD_PRCDR_CD16,Claim Procedure Code XVI,CHAR,7.0,176.0,
PRCDR_DT16,PRCDR_DT16,Claim Procedure Code XVI Date,DATE,8.0,177.0,
ICD_PRCDR_CD17,ICD_PRCDR_CD17,Claim Procedure Code XVII,CHAR,7.0,178.0,
PRCDR_DT17,PRCDR_DT17,Claim Procedure Code XVII Date,DATE,8.0,179.0,
ICD_PRCDR_CD18,ICD_PRCDR_CD18,Claim Procedure Code XVIII,CHAR,7.0,180.0,
PRCDR_DT18,PRCDR_DT18,Claim Procedure Code XVIII Date,DATE,8.0,181.0,
ICD_PRCDR_CD19,ICD_PRCDR_CD19,Claim Procedure Code XIX,CHAR,7.0,182.0,
PRCDR_DT19,PRCDR_DT19,Claim Procedure Code XIX Date,DATE,8.0,183.0,
ICD_PRCDR_CD20,ICD_PRCDR_CD20,Claim Procedure Code XX,CHAR,7.0,184.0,
PRCDR_DT20,PRCDR_DT20,Claim Procedure Code XX Date,DATE,8.0,185.0,
ICD_PRCDR_CD21,ICD_PRCDR_CD21,Claim Procedure Code XXI,CHAR,7.0,186.0,
PRCDR_DT21,PRCDR_DT21,Claim Procedure Code XXI Date,DATE,8.0,187.0,
ICD_PRCDR_CD22,ICD_PRCDR_CD22,Claim Procedure Code XXII,CHAR,7.0,188.0,
PRCDR_DT22,PRCDR_DT22,Claim Procedure Code XXII Date,DATE,8.0,189.0,
ICD_PRCDR_CD23,ICD_PRCDR_CD23,Claim Procedure Code XXIII,CHAR,7.0,190.0,
PRCDR_DT23,PRCDR_DT23,Claim Procedure Code XXIII Date,DATE,8.0,191.0,
ICD_PRCDR_CD24,ICD_PRCDR_CD24,Claim Procedure Code XXIV,CHAR,7.0,192.0,
PRCDR_DT24,PRCDR_DT24,Claim Procedure Code XXIV Date,DATE,8.0,193.0,
ICD_PRCDR_CD25,ICD_PRCDR_CD25,Claim Procedure Code XXV,CHAR,7.0,194.0,
PRCDR_DT25,PRCDR_DT25,Claim Procedure Code XXV Date,DATE,8.0,195.0,
IME_OP,IME_OP_CLM_VAL_AMT,Operating Indirect Medical Education (IME) Amount,NUM,12.0,196.0,
DSH_OP,DSH_OP_CLM_VAL_AMT,Operating Disproportionate Share Amount,NUM,12.0,197.0,
DOB_DT,DOB_DT,Date of Birth from Claim ,DATE,8.0,198.0,
GNDR_CD,GNDR_CD,Gender Code from Claim,CHAR,1.0,199.0,
RACE_CD,BENE_RACE_CD,Race Code from Claim,CHAR,1.0,200.0,
CNTY_CD,BENE_CNTY_CD,County Code from Claim (SSA),CHAR,3.0,201.0,
STATE_CD,BENE_STATE_CD,Beneficiary Residence (SSA) State Code,CHAR,2.0,202.0,
ZIP_CD,BENE_MLG_CNTCT_ZIP_CD,ZIP Code of Residence from Claim,CHAR,9.0,203.0,
CLM_MDCL_REC,CLM_MDCL_REC,Claim Medical Record Number,CHAR,17.0,204.0,
CLM_TRTMT_AUTHRZTN_NUM,CLM_TRTMT_AUTHRZTN_NUM,Claim Treatment Authorization Number,CHAR,18.0,205.0,
CLM_PRCR_RTRN_CD,CLM_PRCR_RTRN_CD,Claim Pricer Return Code,CHAR,2.0,206.0,
CLM_PRCR_VRSN_CD,CLM_PRCR_VRSN_CD,Claim Pricer Version Code,CHAR,10.0,250.0,New5
CLM_SRVC_FAC_ZIP_CD,CLM_SRVC_FAC_ZIP_CD,Claim service facility ZIP code (where service was provided),CHAR,9.0,207.0,
CLM_IP_LOW_VOL_PMT_AMT,CLM_IP_LOW_VOL_PMT_AMT,Claim Inpatient Low Volume Payment Amount ,NUM,12.0,208.0,
CLM_CARE_IMPRVMT_MODEL_CD1,CLM_CARE_IMPRVMT_MODEL_CD1,Claim Care Improvement Model 1 Code (budled payment),CHAR,2.0,209.0,
CLM_CARE_IMPRVMT_MODEL_CD2,CLM_CARE_IMPRVMT_MODEL_CD2,Claim Care Improvement Model 2 Code,CHAR,2.0,210.0,
CLM_CARE_IMPRVMT_MODEL_CD3,CLM_CARE_IMPRVMT_MODEL_CD3,Claim Care Improvement Model 3 Code,CHAR,2.0,211.0,
CLM_CARE_IMPRVMT_MODEL_CD4,CLM_CARE_IMPRVMT_MODEL_CD4,Claim Care Improvement Model 4 Code,CHAR,2.0,212.0,
CLM_BNDLD_MODEL_1_DSCNT_PCT,CLM_BNDLD_MODEL_1_DSCNT_PCT,Claim Bundled Model 1 Discount Percent,NUM,8.0,213.0,
CLM_BASE_OPRTG_DRG_AMT,CLM_BASE_OPRTG_DRG_AMT,Claim Base Operating DRG Amount ,NUM,12.0,214.0,
CLM_VBP_PRTCPNT_IND_CD,CLM_VBP_PRTCPNT_IND_CD,Claim Value-Based Purchasing (VBP) Participant Indicator Code,CHAR,1.0,215.0,
CLM_VBP_ADJSTMT_PCT,CLM_VBP_ADJSTMT_PCT,Claim VBP Adjustment Percent,NUM,15.0,216.0,
CLM_HRR_PRTCPNT_IND_CD,CLM_HRR_PRTCPNT_IND_CD,Claim Hospital Readmission Rdctn (HRR) Participant Indicator Code,CHAR,1.0,217.0,
CLM_HRR_ADJSTMT_PCT,CLM_HRR_ADJSTMT_PCT,Claim HRR Adjustment Percent,NUM,8.0,218.0,
CLM_MODEL_4_READMSN_IND_CD,CLM_MODEL_4_READMSN_IND_CD,Claim Model 4 Readmission Indicator Code,CHAR,1.0,219.0,
CLM_UNCOMPD_CARE_PMT_AMT,CLM_UNCOMPD_CARE_PMT_AMT,Claim Uncompensated Care Payment Amount,NUM,12.0,220.0,
CLM_BNDLD_ADJSTMT_PMT_AMT,CLM_BNDLD_ADJSTMT_PMT_AMT,Claim Bundled Adjustment Payment Amount,NUM,12.0,221.0,
CLM_VBP_ADJSTMT_PMT_AMT,CLM_VBP_ADJSTMT_PMT_AMT,Claim Value Based Purchasing Adjustment Payment Amount,NUM,12.0,222.0,
CLM_HRR_ADJSTMT_PMT_AMT,CLM_HRR_ADJSTMT_PMT_AMT,Claim Hospital Readmission Reduction (HRR) Adjustment Payment Amount,NUM,12.0,223.0,
EHR_PYMT_ADJSTMT_AMT,EHR_PYMT_ADJSTMT_AMT,Claim Electronic Health Record (EHR) Payment Adjustment Amount,NUM,12.0,224.0,
PPS_STD_VAL_PYMT_AMT,PPS_STD_VAL_PYMT_AMT,Standard Payment Amount,NUM,12.0,225.0,
FINL_STD_AMT,FINL_STD_AMT,Claim Final Standard Payment Amount,NUM,12.0,226.0,
CLM_FULL_STD_PYMT_AMT,CLM_FULL_STD_PYMT_AMT,Claim Full Standard Payment Amount,NUM,12.0,231.0,
CLM_SS_OUTLIER_STD_PYMT_AMT,CLM_SS_OUTLIER_STD_PYMT_AMT,Claim Short Stay Outlier (SSO) Standard Payment Amount,NUM,12.0,232.0,
HAC_PGM_RDCTN_IND_SW,HAC_PGM_RDCTN_IND_SW,Claim Hospital Acquired Condition (HAC) Program Reduction Indicator Switch,CHAR,1.0,227.0,
EHR_PGM_RDCTN_IND_SW,EHR_PGM_RDCTN_IND_SW,Claim Electronic Health Records (EHR) Program Reduction Indicator Switch,CHAR,1.0,228.0,
CLM_SITE_NTRL_PYMT_CST_AMT,CLM_SITE_NTRL_PYMT_CST_AMT,Claim Site Neutral Payment Based on Cost Amount,NUM,12.0,229.0,
CLM_SITE_NTRL_PYMT_IPPS_AMT,CLM_SITE_NTRL_PYMT_IPPS_AMT,Claim Site Neutral Payment Based on inpatient prospective payment system (IPPS) Amounts,NUM,12.0,230.0,
CLM_NEXT_GNRTN_ACO_IND_CD1,CLM_NEXT_GNRTN_ACO_IND_CD1,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Population based payments (PBP),CHAR,1.0,233.0,
CLM_NEXT_GNRTN_ACO_IND_CD2,CLM_NEXT_GNRTN_ACO_IND_CD2,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Telehealth,CHAR,1.0,234.0,
CLM_NEXT_GNRTN_ACO_IND_CD3,CLM_NEXT_GNRTN_ACO_IND_CD3,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Post Discharge HH visits,CHAR,1.0,235.0,
CLM_NEXT_GNRTN_ACO_IND_CD4,CLM_NEXT_GNRTN_ACO_IND_CD4,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - 3 day SNF waiver,CHAR,1.0,236.0,
CLM_NEXT_GNRTN_ACO_IND_CD5,CLM_NEXT_GNRTN_ACO_IND_CD5,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Capitation,CHAR,1.0,237.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,238.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,239.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,240.0,New2
CLM_RP_IND_CD,CLM_RP_IND_CD,Claim Representative Payee (RP) Indicator Code,CHAR,1.0,241.0,New2
PRVDR_VLDTN_TYPE_CD,PRVDR_VLDTN_TYPE_CD,Provider Validation Type Code,CHAR,2.0,242.0,New2
RR_BRD_EXCLSN_IND_SW,RR_BRD_EXCLSN_IND_SW,Railroad Board Exclusion Indicator Switch,CHAR,1.0,243.0,New2
CLM_MODEL_REIMBRSMT_AMT,CLM_MODEL_REIMBRSMT_AMT,Claim Model Reimbursement Amount,NUM,12.0,245.0,New3
LTCH_DSCHRG_PYMT_ADJSTMT_AMT,LTCH_DSCHRG_PYMT_ADJSTMT_AMT,LTCH Discharge Payment Adjustment Amount,NUM,12.0,246.0,New4
CLM_ADJUST_GRP_CD,CLM_ADJUST_GRP_CD,Claim Adjustment Group Code,CHAR,2.0,248.0,New5
CLM_ADJUST_RSN_CD,CLM_ADJUST_RSN_CD,Claim Adjustment Reason Code,CHAR,5.0,249.0,New5
